road,id,model_type,name,lat,lon,length,condition,bridge_name
N1,137,link,link,22.620693799999998,91.6563611,332.9999999999709,,
N1,138,bridge,bridge,22.6230461711711,91.6554672531531,3.0,A,SITAKUNDA SLAB
N1,139,link,link,22.623471600000002,91.65530559999999,219.0000000000291,,
N1,140,link,link,22.625221600000003,91.6545278,83.0,,
N1,141,bridge,bridge,22.6258323373493,91.6541857554217,6.1,B,UTTOR SITAKONDO BAZAR BOX CULVERT
N1,142,link,link,22.625916,91.6541389,782.0,,
N1,143,bridge,bridge,22.6281666352941,91.6527578258312,3.0,A,EGOL PUR BOX CULVERT
N1,144,link,link,22.632027100000002,91.65038890000001,135.0,,
N1,145,link,link,22.6330827,91.649833,87.0000000000291,,
N1,146,link,link,22.6338608,91.64947190000001,973.9999999999418,,
N1,147,bridge,bridge,22.6343285718685,91.6492077265913,3.0,A,KACHAI POTTI BOX CULVERT
N1,148,bridge,bridge,22.636096590965,91.648209240657,3.0,A,KACHAI PATH BOX CULVERT
N1,149,link,link,22.641582999999997,91.6451108,470.0,,
N1,150,link,link,22.645277399999998,91.6430552,463.0,,
N1,151,bridge,bridge,22.6474561112311,91.6419171170626,12.4,A,BOTTOL BOX CULVERT
N1,152,link,link,22.6489997,91.6411108,67.0,,
N1,153,link,link,22.6494997,91.640833,411.0000000000291,,
N1,154,bridge,bridge,22.6510709547445,91.6400341194647,4.6,A,NUNA CHARA BOX CULVERT
N1,155,link,link,22.652777800000003,91.6391663,209.0,,
N1,156,link,link,22.6543889,91.63813859999999,357.0,,
N1,157,bridge,bridge,22.6547124294117,91.6379261764705,3.1,A,RONA SORA CULVERT
N1,158,link,link,22.6571389,91.636333,322.0000000000291,,
N1,159,link,link,22.6596667,91.6347219,539.9999999999709,,
N1,160,bridge,bridge,22.6615956814814,91.6335257425926,3.0,A,SATU DURUAR HAT BOX CULVERT
N1,161,link,link,22.6638333,91.6321382,138.0,,
N1,162,link,link,22.6649167,91.63155490000001,370.0,,
N1,163,bridge,bridge,22.6657838981081,91.6311293581081,3.0,A,MIRJA PUR (3) BOX CULVERT
N1,164,link,link,22.6678604,91.6301104,506.0,,
N1,165,bridge,bridge,22.6699594391304,91.6293531695652,3.0,A,Tarial Bazar Culvert
N1,166,link,link,22.6722493,91.6285271,131.0000000000291,,
N1,167,link,link,22.6733049,91.62808270000001,119.9999999999709,,
N1,168,link,link,22.6743049,91.6277493,99.0,,
N1,169,link,link,22.6751382,91.6274438,231.0,,
N1,170,link,link,22.6769438,91.62683270000001,670.0,,
N1,171,bridge,bridge,22.6769772991044,91.6268169453731,6.0,A,TARAT BOX CULVERT
N1,172,link,link,22.6825549,91.6241938,317.0,,
N1,173,link,link,22.685083,91.6228327,544.0,,
N1,174,bridge,bridge,22.6868697647058,91.6220385823529,3.2,A,BORO KAMALDA BOX CULVERT
N1,175,link,link,22.689583,91.62083270000001,98.0,,
N1,176,link,link,22.6904163,91.62052709999999,216.0,,
N1,177,bridge,bridge,22.6912517148148,91.6201690574074,4.2,A,VANGGARPOL BOX CULVERT
N1,178,link,link,22.6919719,91.61986040000001,784.0,,
N1,179,link,link,22.6984997,91.61666600000001,220.0,,
N1,180,link,link,22.7002222,91.61577779999999,381.0,,
N1,181,bridge,bridge,22.701816503937,91.6149734608923,19.2,A,DUKHIN UTHPAR BOX CULVERT
N1,182,link,link,22.7033056,91.6142222,342.0,,
N1,183,link,link,22.706,91.6126944,68.0,,
N1,184,link,link,22.7065556,91.61236109999999,137.0000000000291,,
N1,185,link,link,22.7076111,91.6118056,606.9999999999709,,
N1,186,link,link,22.7124167,91.6090556,256.0,,
N1,187,bridge,bridge,22.7138727382812,91.6082352218749,19.2,C,ISAMATI BOX CULVERT
N1,188,link,link,22.7143889,91.60794440000001,215.0,,
N1,189,link,link,22.715999999999998,91.6069167,75.0000000000291,,
N1,190,link,link,22.7165556,91.6065556,259.9999999999709,,
N1,191,bridge,bridge,22.7172707342307,91.6061084846153,3.0,A,MIRZAPUR (2) BOX CULVERT
N1,192,bridge,bridge,22.7178243865384,91.6057623307692,3.0,A,MIRJAPUR BOX CULVERT
N1,193,link,link,22.7185549,91.6053056,461.0,,
N1,194,link,link,22.7221104,91.6030833,539.0,,
N1,195,bridge,bridge,22.723316755473,91.6024331404452,3.0,A,NIAZAMPUR BOX CULVERT
N1,196,link,link,22.7263882,91.60077779999999,988.0,,
N1,197,link,link,22.7349163,91.5979719,12.0,,
N1,198,link,link,22.7349997,91.59794409999999,968.0,,
N1,199,link,link,22.743305199999998,91.5950274,32.0,,
N1,200,link,link,22.7435552,91.5949163,768.0,,
N1,201,bridge,bridge,22.7445136523437,91.5943998915364,8.1,B,BOTHAGIA (-3) BOX CULVERT
N1,202,link,link,22.749638600000004,91.5916386,232.0,,
N1,203,bridge,bridge,22.7506393495689,91.5908840370689,3.0,A,VARTAGIA BOX CULVERT
N1,204,link,link,22.751333300000002,91.5903608,157.0000000000291,,
N1,205,link,link,22.7525,91.5894719,22.999999999970896,,
N1,206,link,link,22.7526389,91.5893608,820.0,,
N1,207,bridge,bridge,22.7535653245121,91.5886004236585,12.9,A,VARTAKA BOX CULVERT
N1,208,link,link,22.758527800000003,91.58452740000001,547.0,,
N1,209,link,link,22.7621944,91.5811382,453.0,,
N1,210,bridge,bridge,22.7630626913907,91.5804538821192,4.0,A,BOKIMTOLA BOX CULVERT
N1,211,link,link,22.765472199999998,91.57855490000001,528.9999999999709,,
N1,212,link,link,22.7661944,91.5779993,2.0,,
N1,213,link,link,22.7693604,91.5756104,469.0000000000291,,
N1,214,bridge,bridge,22.770251666098,91.5750905211087,9.7,A,IANAINIPOL BOX CULVERT.
N1,215,link,link,22.7730271,91.57347159999999,23.999999999970896,,
N1,216,link,link,22.7732771,91.5733604,475.0,,
N1,217,bridge,bridge,22.774197092,91.5728737519999,6.0,A,Mirsorai(2) box culvert
N1,218,link,link,22.777110399999998,91.5713327,486.0000000000582,,
N1,219,link,link,22.781138199999997,91.5696382,14.999999999970896,,
N1,220,link,link,22.781221600000002,91.5695827,6.0,,
N1,221,link,link,22.7813327,91.5695271,994.0,,
N1,222,bridge,bridge,22.7821968918511,91.5691025661971,23.2,B,MIRAISORI BRIDGE
N1,223,link,link,22.7893608,91.5655833,35.0,,
N1,224,link,link,22.789610800000002,91.5654444,472.0,,
N1,225,link,link,22.7934163,91.5633333,493.0,,
N1,226,bridge,bridge,22.7941813523326,91.5629612622718,4.5,A,MIRSARAI BOX CUL
N1,227,link,link,22.797471899999998,91.56136109999998,845.0,,
N1,228,link,link,22.8045833,91.5591111,155.0,,
N1,229,link,link,22.805944399999998,91.5589167,2.000000000029104,,
N1,230,link,link,22.8059722,91.5589167,251.9999999999709,,
N1,231,link,link,22.808000000000003,91.5579167,406.0,,
N1,232,link,link,22.8110556,91.5563889,340.0,,
N1,233,bridge,bridge,22.811563437647,91.5562562129411,9.5,B,MUCHIPOOL CULVERT
N1,234,link,link,22.8141389,91.5555833,1000.0,,
N1,235,link,link,22.8228049,91.55313890000001,128.0,,
N1,236,link,link,22.8239438,91.5528333,872.0,,
N1,237,bridge,bridge,22.8243706577981,91.5526915454128,12.4,C,PURPU DURGAPURE BOX CUL
N1,238,bridge,bridge,22.8309613422018,91.5505028545871,4.5,A,RAIPUR (2) BOX CULVERT
N1,239,link,link,22.8313882,91.55036109999999,685.9999999999709,,
N1,240,bridge,bridge,22.8327467692419,91.5501035014577,3.0,A,RAIPUR BOX CUL-1
N1,241,link,link,22.8372497,91.5492497,314.0000000000291,,
N1,242,link,link,22.8401941,91.5490552,353.0,,
N1,243,bridge,bridge,22.8410943334277,91.5488096951841,3.0,A,MUSTAN NAGAR -4
N1,244,link,link,22.8432497,91.5482219,240.0,,
N1,245,bridge,bridge,22.8434551375,91.54814955625,1.5,A,MASTARI HAGOR 3 CULVERT
N1,246,link,link,22.8452219,91.5475274,380.0,,
N1,247,bridge,bridge,22.8453914894736,91.5474689210526,3.0,A,MUSTAU NOGAR(2)
N1,248,link,link,22.848444100000002,91.54641629999999,10.0,,
N1,249,link,link,22.8485274,91.5463886,17.0,,
N1,250,bridge,bridge,22.8486172764705,91.5463706117647,8.5,A,MASTANNAGOR BONCUL(1)
N1,251,link,link,22.8486663,91.5463608,722.0,,
N1,252,link,link,22.8550556,91.545833,113.0,,
N1,253,bridge,bridge,22.8551475327433,91.5458221849557,1.5,A,MAMAFAKIR ASTANA SLAB CULVERT
N1,254,link,link,22.855999999999998,91.5457219,165.0,,
N1,255,bridge,bridge,22.8560565672727,91.5457188709091,1.5,A,MAMAFOUN ASTANA CULVERT
N1,256,link,link,22.8575556,91.54563859999999,247.0000000000291,,
N1,257,bridge,bridge,22.8594847882591,91.5454799987854,2.0,A,MADDUM SONAPHAR-3
N1,258,link,link,22.8595833,91.54547190000001,176.9999999999418,,
N1,259,bridge,bridge,22.8609876872509,91.5451551717131,4.3,A,DHARBAR TILA CULVERT
N1,260,link,link,22.861117723107572,91.54512584501991,576.0000000000291,,
N1,261,link,link,22.8661111,91.5439997,282.0000000000291,,
N1,262,bridge,bridge,22.8680563702127,91.5432963340425,1.5,A,MADDAM SONAPAR(1) BOX CULVERT
N1,263,link,link,22.868416,91.5431663,555.9999999999709,,
N1,264,bridge,bridge,22.872722034892,91.5415958766187,2.0,A,CHAIRMEN BARI BOX CULVERT
N1,265,link,link,22.8731382,91.54144409999999,162.0,,
N1,266,link,link,22.874443799999998,91.5409719,85.0,,
N1,267,bridge,bridge,22.8746986941176,91.5408836647058,4.3,A,UTTOR SONAPAR BOX CULVERT
N1,268,link,link,22.875166,91.54072190000001,915.0,,
N1,269,link,link,22.8829993,91.5381663,1000.0,,
N1,270,link,link,22.891638600000004,91.5354719,63.0,,
N1,271,bridge,bridge,22.8916386,91.5354719,3.0,A,BAROYARHAT BOX CULVERT
N1,272,link,link,22.8921663,91.5353052,104.0,,
N1,273,link,link,22.8929719,91.5350274,113.0,,
N1,274,link,link,22.893999700000002,91.5346941,637.0,,
N1,275,link,link,22.899444100000004,91.5336108,83.0,,
N1,276,link,link,22.9003333,91.5333608,535.9999999999709,,
N1,277,bridge,bridge,22.9042462955223,91.5316297776119,3.0,A,BOROYAR PARA SLUB CULVERT
N1,278,link,link,22.9046667,91.53144379999999,464.0000000000291,,
N1,279,link,link,22.9085833,91.5294993,638.0,,
N1,280,bridge,bridge,22.9097128884012,91.5289285034482,6.1,A,BUMGAT BOXCULVERT
N1,281,link,link,22.9138056,91.5268604,228.0,,
N1,282,bridge,bridge,22.9149647061403,91.5262895350877,220.6,B,DHOOM GHAT PC GIRDER
N1,283,link,link,22.9156667,91.5259438,134.0,,
N1,284,link,link,22.916721600000002,91.5253882,1000.0,,
N1,285,link,link,22.924888199999998,91.5213327,1000.0,,
N1,286,link,link,22.932971600000002,91.51722159999998,1000.0,,
N1,287,link,link,22.940832999999998,91.5124444,381.0,,
N1,288,link,link,22.943944100000003,91.51086109999999,619.0,,
N1,289,link,link,22.9482774,91.50725,509.0,,
N1,290,link,link,22.949582999999997,91.50277779999999,211.0,,
N1,291,bridge,bridge,22.9496126090047,91.502066899526,191.5,B,MUHURI BRIDGE
N1,292,link,link,22.9496663,91.5007778,288.0,,
N1,293,link,link,22.9497774,91.49802740000001,1000.0,,
N1,294,link,link,22.9497497,91.4883608,1008.0,,
N1,295,bridge,bridge,22.9486038666666,91.4794993833333,1.5,A,FAZAILPUR BOXCULVERT
N1,296,link,link,22.9484997,91.4786938,262.0,,
N1,297,link,link,22.9483608,91.4761382,738.0,,
N1,298,link,link,22.9479997,91.46899930000001,1012.0,,
N1,299,link,link,22.9514444,91.46002779999999,1000.0,,
N1,300,link,link,22.9561389,91.45177779999999,1043.0,,
N1,301,link,link,22.9611667,91.44338859999999,111.0,,
N1,302,bridge,bridge,22.9614487369369,91.4429962027027,94.05,B,LAMUA BRIDGE
N1,303,link,link,22.9618056,91.4424997,109.0,,
N1,304,link,link,22.9624167,91.44169409999999,780.0,,
N1,305,link,link,22.966333300000002,91.4356108,1000.0,,
N1,306,link,link,22.9711382,91.4273882,1000.0,,
N1,307,link,link,22.9774438,91.42058270000001,1051.0,,
N1,308,link,link,22.984221899999998,91.41372220000001,256.0,,
N1,309,link,link,22.985888600000003,91.4120556,296.0,,
N1,310,link,link,22.9877774,91.41,448.0,,
N1,311,link,link,22.990694100000002,91.4072222,917.0,,
N1,312,bridge,bridge,22.9927169359869,91.4047486961832,1.9,A,.
N1,313,bridge,bridge,22.9945936133042,91.4024539137404,22.15,A,Rampur Bridge(R)
N1,314,bridge,bridge,22.9947280792802,91.4022894900763,23.4,A,RAMPUR BRIDGE
N1,315,link,link,22.9960552,91.4006667,23.0,,
N1,316,link,link,22.9961941,91.4005,85.0,,
N1,317,link,link,22.996388600000003,91.3998052,1000.0,,
